QUARTER,City,City,latitude,longitude,name,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
"China, Xiamen",Xiamen,Xiamen,24.497442,118.135564,Xiamen,42.66861382,43.29401378,42.94953197,42.97511878,44.60409387,47.26445335,47.86464554,50.32890781,51.65000725,49.08566707,50.17381184,48.37839602,54.80954979,56.26067026,56.53587229,57.43848724,58.51512885,58.66842903,60.86645446,62.4151112,62.93671092,65.2933409,61.97060542,62.27466057,62.24691072,58.4058784,58.6537178,63.76805628,63.47930891,64.48927056,64.06142335,64.80522563,63.13295199,64.43276458,63.65595882,67.22886429,68.23157568,68.36662663,68.21266167,71.67034521,71.1710996,71.65924194,71.38022781,71.20365492,70.50405873,74.50927772,75.00570028,76.33512146,77.43188254,78.34050654,77.78909002,80.39692478,80.41363473,81.17973922,80.65269566,80.79307306,79.78142113,84.88036756,85.06622246
"China, Shekou",Shekou,Shekou,27.211944,119.571389,Shekou,36.27019016,34.64203627,33.86056517,34.56695162,33.77694664,35.61689122,38.0951234,41.05328213,41.90888089,42.35374195,45.01989576,44.21550602,42.32791437,42.68932326,43.10203859,44.65993809,43.29920721,45.8693175,47.07853217,49.01241598,50.6146551,60.08584455,59.40432359,59.20336146,58.3185354,57.05419356,58.75956045,58.06257047,56.97952544,57.58496905,58.28203327,57.90828089,58.44144149,59.26966461,59.30982232,59.7119862,58.7972239,61.26656219,59.23737251,59.12452312,60.99624225,58.19801282,58.67467468,58.34639229,59.21891633,66.52682967,79.20751622,79.5604523,80.70362045,89.4251907,88.82763995,87.01772143,86.38794642,79.65375438,78.66632828,78.48753788,77.78173012,82.17603189,83.14827024
"China, Yantian",Yantian,Yantian,27.365936,114.37429,Yantian,46.36825319,47.5778191,48.28685207,50.09447236,49.83084017,52.22038026,52.29967858,55.01493941,54.74706924,55.86942218,55.48450408,54.5381618,55.22858407,56.79488969,59.51676296,58.21121411,56.97179639,60.26401664,62.39157219,64.46267335,63.170664,70.07098677,69.62373861,67.85525592,66.14544603,64.78761922,66.79676003,68.24749605,66.4250464,66.83578634,70.28525552,70.69151902,69.18978135,69.35070146,70.1029961,68.9527654,71.7585414,71.04741291,71.91769974,70.95172608,71.4896019,71.79186279,72.24023226,71.65247739,71.08002612,77.61246503,78.6396963,78.32473032,77.44588213,78.39005233,78.89592041,78.72443746,76.48578218,74.88767544,78.01298928,79.34951331,78.9127613,78.50930473,80.25639078
"United Arab Emirates, Jebel Ali",Jebel Ali,Jebel Ali,25.011261,55.061161,Jebel Ali,37.40174181,37.8617085,38.94726724,39.24292132,40.29480951,43.61169338,43.75868406,45.58191122,46.87514279,48.50087394,53.38237645,55.46759287,64.92451889,64.71210831,63.81540335,63.32979649,62.96777865,63.01818364,62.37510482,62.57760687,63.60363875,62.63215515,63.51422104,63.00418744,62.45768069,61.96921216,63.16586051,66.39146605,66.87870779,67.31997988,66.68672104,65.78378362,65.57606173,65.9689359,66.23340072,66.17190487,61.74553137,64.75253389,66.02100425,63.86724892,64.49071049,64.42030407,73.38447515,73.67243905,73.52748242,75.24935579,74.45217915,75.08872286,76.67945305,76.40274784,75.53282836,74.03017473,75.03326303,75.75059908,74.41722265,75.32629095,75.02714204,79.19204799,80.11989068
"Germany, Hamburg",Hamburg,Hamburg,53.550341,10.000654,Hamburg,73.44347028,74.26938249,73.72121523,73.34617154,73.12102203,72.84100832,74.23819332,74.2915508,75.55332926,76.95084783,73.63552489,75.95634807,73.22869552,72.1336288,70.24739321,68.76488581,68.97403971,70.54406939,74.90019435,72.10447204,73.47912972,76.18977219,74.27997288,73.65396252,71.42803193,71.93476293,71.40314606,74.40212516,74.10745409,74.97157429,75.07664418,74.22468671,73.9352675,72.74922659,72.97791683,75.19772565,77.23439584,77.00380621,78.59837324,77.96271521,77.65446311,76.98722516,77.86989001,75.81813825,75.45937598,75.82043396,75.68058411,76.79299266,76.98571899,76.34115693,76.38948744,75.10090261,76.36976035,76.06835901,75.67506858,76.34849241,75.27072405,79.04810955,79.34659752
"Japan, Yokohama",Yokohama,Yokohama,35.444952,139.642105,Yokohama,55.89793586,58.52590164,58.55932272,64.029221,65.46893601,57.6031967,57.72746182,57.96411893,58.66590011,59.25464764,58.97392317,61.32924709,59.17298854,58.43613957,58.08544942,58.6021255,58.1601157,59.48368273,60.57665059,59.61633376,58.94708994,57.2848,56.67100391,56.70669914,55.22855565,54.8221707,55.35543658,56.39151795,56.09102662,55.37221177,54.9276014,55.31982077,53.13724776,52.75496915,54.4672205,61.70102648,61.5163076,61.34861025,65.39618394,64.5926256,64.71484058,65.62768694,58.91166995,57.88853642,65.5385492,56.89120155,57.4329025,59.8570104,59.34789994,61.57253208,57.52829024,67.1518013,67.70398759,61.35580891,60.93455072,71.00796267,67.4978548,78.14537427,78.55742937
"China, Nansha",Nansha,Nansha,61.7257,16.88368,Nansha,16.06445835,22.23172517,22.55934362,21.92474772,21.97553183,24.87959056,27.52627297,29.19240759,29.62625931,31.57015402,31.13714106,32.13138233,30.75625491,29.83229856,29.30697294,30.0341623,29.82249121,32.58568813,38.81863129,40.24567104,41.00052305,42.33270379,44.48555705,44.64841934,45.50565075,44.62365333,44.97804115,45.6550969,44.69354038,44.99030428,46.44899432,46.35671237,45.28533106,45.65146954,45.23470717,45.81041655,46.14619836,47.3773148,49.23946742,49.81980741,56.67831158,57.83092675,50.93158717,50.36735955,57.08272518,56.02667194,57.70260693,58.55362336,59.74221764,66.57639771,67.45973419,67.40623306,66.52563171,69.42038442,69.96641832,71.32170526,70.79037974,76.30484602,77.10581579
"Sri Lanka, Colombo",Colombo,Colombo,6.934287,79.85327,Colombo,33.46198122,37.30222356,36.90754695,40.57557408,40.99674472,42.48803935,42.47617779,41.81849943,42.4649352,44.28013956,42.78128655,42.08895042,41.02952263,37.52058499,38.88610998,38.88333052,38.25097803,39.42543697,39.63428205,40.44082591,41.15292445,41.65503667,42.01107874,41.38788392,42.34439653,42.70225488,42.02843391,41.95528241,42.41388353,41.8267385,44.96021726,49.58431231,48.94014435,48.94824062,48.3147116,48.64832005,48.52855598,49.47727927,53.95071411,54.64029837,54.88376859,58.06720172,64.4674866,64.60934889,64.26287448,62.40934848,62.1764831,65.48879141,66.50159638,63.13042737,65.16736174,65.47033583,65.06275708,64.60929053,64.12400214,64.37720487,66.18673807,71.9846316,73.87508691
"China, Xingang",Xingang,Xingang,35.304478,113.92085,Xingang,39.15123375,39.30169145,41.94021612,39.34074789,42.25601881,43.54335453,45.75011448,46.56290453,48.54840725,49.06351063,50.56046288,49.38869197,48.56420557,54.78348046,55.35412578,55.54876806,54.53979623,56.8101555,59.71487478,59.7706499,61.03590992,58.86788344,58.15804058,57.87688064,57.59759608,58.80349028,58.34414169,61.76082591,60.58545923,61.23778002,61.63442599,64.13215671,63.17689831,62.89259494,63.56567498,68.43822111,62.60096092,61.85876133,65.91384508,67.82189828,67.73856832,68.07298805,70.55686418,70.14638532,71.09192217,74.65766034,75.02221701,74.61941361,75.59082786,76.28564917,76.38049516,76.37194756,75.67255353,75.65409388,78.07263122,79.37970732,78.87885976,78.12163551,72.33161641
"Malaysia, Tanjung Pelepas",Tanjung Pelepas,Tanjung Pelepas,39.123564,117.198079,Tanjung Pelepas,32.97154656,33.14120138,33.527156,39.53524888,38.57864652,39.76827782,39.60742495,43.29462681,43.52874703,37.49798021,44.26233566,43.12080129,46.74875738,49.2863619,38.46423346,38.42115161,37.59140003,38.05539853,48.2453763,48.03257277,48.08689388,55.29637373,56.10663166,55.81177954,55.58496576,55.91964294,56.62626276,56.57045981,56.81012503,58.2462646,62.59942554,61.74505781,60.56697194,61.33740253,61.40597885,62.67097007,63.23124029,62.54889406,62.31791408,62.1882936,61.19494168,60.89298304,62.20524298,61.01524455,60.87494384,64.15668204,63.65368811,64.0823784,64.64588577,64.26385683,64.34165809,63.84796247,63.69145244,65.20784118,69.07350862,70.1963055,71.0700926,69.67921734,70.76042835
"Spain, Valencia",Valencia,Valencia,44.933228,4.892081,Valencia,41.93119631,42.30021903,42.78017416,42.09513975,42.87961086,43.7449353,43.3923976,42.59795969,41.91582307,41.37166142,44.60271289,42.62761223,53.14498379,52.99505688,52.20081314,51.75571136,52.72658131,54.23051669,54.88978263,54.11717692,54.94819615,54.20126955,54.25713523,53.69641549,52.24629085,52.35138563,52.0528718,50.87660835,50.8792432,51.1442481,50.91372044,51.13452794,51.18474751,51.43503897,51.83654382,51.20192997,52.17996338,51.95514078,52.16221763,51.8615256,54.29192421,53.7872638,53.70776764,53.70367197,53.6407137,57.17172474,57.05661203,57.61790343,57.54344403,56.5013825,56.10296849,55.72321239,55.48269598,60.3990175,59.91030893,60.51031592,60.87874108,68.42634374,68.86159302
"France, Le Havre",Le Havre,Le Havre,49.493898,0.107973,Le Havre,44.97451224,44.84524521,45.19789794,44.56228119,46.3666434,46.27744673,47.85958298,48.40273612,49.10732643,49.04295571,47.38684534,49.15611864,47.79378492,48.49915997,48.09753854,48.04967088,47.09784579,46.5073075,51.08826631,50.42210448,50.96327151,51.79578138,51.64509802,50.2957837,51.95973325,50.72007632,51.43005186,54.37043195,55.56346074,56.020769,56.48005125,56.30893358,56.33283695,56.99888474,56.97959539,55.86581433,55.31401878,59.29508522,61.16670766,60.17571671,61.17095115,59.42896046,58.45387393,60.04050553,60.17168602,63.02647218,63.63194047,64.10223214,63.69868759,64.83552482,63.17749853,64.03205553,64.47129802,63.80212872,56.91058246,63.98646367,63.52590891,68.15731129,67.06706696
"Germany, Bremerhaven",Bremerhaven,Bremerhaven,53.543015,8.580335,Bremerhaven,47.62810164,50.25208308,50.92127762,54.98058517,55.35753912,55.1362223,55.8317844,59.35091225,58.65735425,57.43244547,57.33898992,56.66307583,59.78803732,56.25840158,55.18781983,53.6836817,53.84373517,54.24204271,55.07311675,54.3392544,53.92283005,57.86733919,57.54439964,56.50194955,57.25414273,59.47538516,59.38008913,60.19166819,58.77577819,59.08276167,63.34902555,62.84403594,62.66157169,63.08022404,61.65542146,61.40280209,62.02362183,60.7050138,62.02051045,62.68459296,62.66943781,62.27017338,63.77518547,64.04779076,64.81202339,63.5834417,66.2697434,66.8024398,65.5406452,65.88312665,64.32328179,65.0163077,63.32291975,60.94500816,64.90657267,66.22396245,66.14278642,65.00278598,65.40088388
"Thailand, Laem Chabang",Laem Chabang,Laem Chabang,13.097056,100.915227,Laem Chabang,33.91882268,34.82282961,35.50063924,36.03874392,35.10669475,36.02223512,36.13118793,36.51892678,36.3594431,35.65349064,35.64414801,34.11936949,35.49828404,34.08205726,40.95223121,41.33552092,41.4684875,43.21627315,43.21581249,44.45662886,41.6322508,41.3208035,40.44413875,41.23004229,40.7986187,39.08283483,39.83608519,41.29259796,41.36893318,40.57217005,44.78663975,45.40951345,44.2330572,44.45375213,43.55516276,43.45879997,44.50178609,45.49928691,45.86723166,46.43178303,46.61092061,47.18109066,46.77166301,45.96588258,45.1338097,43.65297668,44.51793714,45.49989058,46.32770081,46.68944625,46.97745722,47.17601516,54.23017168,54.47786761,54.66551928,54.15508954,54.59509478,59.87362035,64.82759124
"Spain, Barcelona",Barcelona,Barcelona,41.38256,2.177135,Barcelona,37.32088114,40.83368418,41.72506348,42.59713344,41.96239738,41.98872261,42.76719064,43.83338087,42.01581234,40.65030665,41.70263063,41.98751106,40.74179958,40.39460851,40.53122272,39.75508275,40.46706438,40.41014998,40.469726,47.32685509,49.12385214,49.63871367,49.95567366,50.06175292,49.8689689,47.88543969,47.90803668,47.13298754,47.07895223,46.6643403,47.32805576,47.52910689,47.14748854,47.08171306,47.11184627,48.03309172,48.6902738,49.83478606,50.46370616,49.42843781,48.83388132,49.04932168,49.58399061,50.36709485,50.2874503,54.18439607,54.79827784,55.70423169,55.65586481,54.12991039,52.12540686,52.62482241,52.40788324,58.04601853,57.18237029,58.02600164,58.3953183,65.40763303,64.21868399
"Spain, Algeciras",Algeciras,Algeciras,36.13108,-5.448706,Algeciras,30.05642961,32.28801409,32.03612387,36.79500322,37.87608061,35.03871101,34.80282145,36.11927634,36.08350847,36.70754803,36.18062023,36.50297254,40.33470308,41.31559178,42.25222833,42.42564976,42.57496267,43.68145566,43.34981653,44.38709253,44.73379393,33.26130614,48.31626555,49.77059829,48.4643559,42.00096058,44.16243589,45.51289352,45.94420115,46.08589529,46.57385357,46.00949833,46.02646197,56.03694365,55.57658179,55.52911284,55.09223126,54.50233035,57.30009462,58.54838719,58.06901248,58.10229229,60.95544832,60.59975268,60.68625412,63.55847808,63.5956394,63.80612065,64.70064607,64.18935529,63.59217117,61.23761093,61.68927563,62.20538112,66.33838158,67.78775814,67.3239668,68.14232934,63.53957274
"China, Dalian",Dalian,Dalian,38.920716,121.638868,Dalian,38.62257157,39.87533769,40.32043289,38.17722377,38.59636602,39.2880771,40.78611121,40.80107366,43.4870689,42.66205249,43.55458942,44.90196035,44.78986362,45.51994994,45.19758026,45.60967625,45.31396707,45.65942158,47.22585384,50.73332004,51.1202274,51.94408965,52.3398317,51.5889884,53.38305767,53.05309926,52.58843291,53.04935966,52.64515564,51.77925127,53.47348903,56.48208505,56.25654981,56.64135944,55.71100973,60.82819088,61.12499587,61.56704638,60.95564958,59.54532538,59.90408977,60.18294537,60.52664626,59.36549218,59.28054311,63.49125056,62.64256539,62.56547021,62.6601612,62.33821981,61.90029311,62.60521514,61.70588626,61.77037565,61.82748093,62.06020116,62.5072108,62.87024544,62.95251416
"Greece, Piraeus",Piraeus,Piraeus,37.944011,23.648354,Piraeus,28.7966441,32.06210453,31.84962082,31.71107256,27.91372012,25.30754504,29.7208283,31.23161541,28.0126433,27.07710058,22.3516431,22.39531076,35.95446561,38.31068739,29.60174515,30.41262935,28.76518574,29.56436072,29.07590587,30.35971256,30.31571092,34.67876552,38.85287935,38.67019997,38.47992893,40.1122919,40.45399163,41.05949455,41.54687585,41.85954911,42.7018171,43.28917048,44.84610368,44.3043916,47.83874043,47.50291029,44.28077599,47.78948389,45.84538985,42.56943535,43.03009351,43.09338417,42.89583419,46.84382868,48.21751167,45.44121909,52.17936814,51.22478114,60.77033101,60.00144043,60.8500986,61.18035036,61.1032016,62.76466977,62.81088875,62.49212148,61.89428202,61.47733382,61.69182919
"Egypt, Port Said",Port Said,Port Said,31.182596,32.372853,Port Said,39.37145549,39.90261504,39.59941744,39.18762844,37.40545814,35.55894929,35.7045714,36.90194785,37.91289762,40.313236,36.46120567,38.8054576,37.54535787,35.68198571,34.81391953,37.03087498,36.83508491,36.80031412,38.32950457,38.37355059,40.30331328,42.06421822,46.83415691,45.84512382,44.41267552,42.88693232,44.9483242,45.39224306,44.9931952,45.0624518,46.59429849,47.33368192,47.58866052,48.68019434,48.83551736,48.48342486,48.78436744,51.25985564,50.34675629,46.72388981,48.92538342,49.0759381,47.69739479,47.68747613,47.33911798,48.79573235,48.27271477,49.02720762,49.97676696,56.26544077,53.6596558,47.13275207,54.65938813,54.63565183,51.90108315,53.81131003,53.33530187,60.74716163,60.82257321
"Korea, Republic of, Kwangyang (Gwangyang)",Kwangyang (Gwangyang),Kwangyang ,-7.41355,112.76556,Kwangyang,31.89545724,34.3708752,34.32949094,33.31047911,34.1196926,34.12623703,33.39015027,34.20289065,36.8145945,37.9236614,37.79213997,36.48514242,41.73816366,41.99125982,36.22016673,37.36822284,38.09743206,37.29238532,37.93826477,37.53030534,38.36220911,52.07326878,51.49825843,51.60788819,51.38934111,52.33170782,53.40412361,54.91461292,54.42213265,55.06316902,59.81240316,58.92391686,58.78222018,57.57560316,58.02467117,59.56328576,59.68954709,59.94842781,60.28581,60.06996555,59.06526993,60.3738298,61.95271675,61.07071086,60.06827852,58.65380026,58.88188185,59.03162327,61.83053343,62.48258618,61.57571967,62.50601313,61.85022115,62.51107286,66.4860744,68.11320242,66.80078653,65.30716316,60.35533279
"Italy, Gioia Tauro",Gioia Tauro,Gioia Tauro,38.423974,15.898995,Gioia Tauro,28.78562533,29.38496759,29.5749456,31.11787889,32.91280105,33.0104722,35.58312542,36.31692052,34.00713476,35.77585853,36.32842785,32.17922717,42.41261351,42.37701562,31.10868024,30.4696621,30.169334,29.84422121,30.18998071,36.67867904,38.55531803,38.15177193,36.08193666,35.56514219,36.02856119,36.9866406,36.25015207,36.55612408,38.03801332,38.33693088,38.40633075,38.41629829,38.97381529,39.07742105,39.27459091,39.15160667,40.17956366,39.41809136,39.3441213,38.27760138,37.93532422,37.4460629,37.60176663,38.79491977,38.87213245,44.21147136,43.16295146,43.38551853,43.50381379,43.24044875,43.04742999,43.47203849,43.5546501,47.77529185,47.79740226,48.79750649,48.91156217,57.68164643,58.22984859
"United Kingdom, Felixstowe",Felixstowe,Felixstowe,51.96391,1.351511,Felixstowe,43.98949527,44.64428694,44.53128316,47.85195536,47.29497989,44.04851746,43.84641958,43.93454369,43.02202102,41.88599869,41.62639895,42.33625407,43.17883698,49.10684994,50.38072285,50.43924664,51.36947589,52.18879369,51.99350825,51.10055067,50.5566739,52.32216631,49.56638629,48.33864276,48.40948291,47.9869781,47.78688263,48.14074997,46.40815306,46.73971543,46.52756194,49.24330719,48.20491745,48.14523087,48.62470793,53.05669538,54.06202235,53.74089904,54.92376618,54.81852374,54.93990629,55.69505552,54.70405261,54.70727143,54.76290307,57.32880728,57.01640505,56.30258599,57.29016525,56.9630957,55.99830473,52.02102809,52.87320709,52.83625559,53.05945638,53.20969601,57.85354154,58.24048445,57.87211212
"United States of America, Los Angeles",Los Angeles,Los Angeles,34.052238,-118.243344,Los Angeles,28.78806453,32.84540777,32.10369824,32.90192595,30.06179221,29.98359419,28.44705475,30.39418373,29.28474092,31.18742837,30.97369285,31.1256693,31.18560432,31.06323862,30.89459002,30.69515687,30.35561153,30.01584051,31.18637229,31.9215011,32.08069865,30.6588481,30.40148046,30.76844065,31.74218451,39.43509053,37.13820848,32.60096174,34.24248164,33.92225098,34.2971705,34.05522038,34.21947277,36.79956207,42.30529822,41.8812595,42.01817787,41.81316303,41.52381017,41.59459053,41.64751406,41.40287534,39.78760451,39.84111392,46.57609814,40.0525551,41.39159954,42.93706906,40.82446844,41.9916316,41.18443887,47.39620108,46.52212347,40.71712877,39.51787565,48.19044875,45.89054168,55.61709888,56.51710588
